Date,XOM
2023-01-04,96.34992218017578
2023-01-05,98.50567626953125
2023-01-06,99.69628143310547
2023-01-09,97.83820343017578
2023-01-10,99.29938507080078
2023-01-11,100.45394897460938
2023-01-12,102.12261962890625
2023-01-13,102.05949401855469
2023-01-17,101.86103820800781
2023-01-18,99.76844024658203
2023-01-19,100.40885925292969
2023-01-20,102.23988342285156
2023-01-23,101.70771789550781
2023-01-24,102.65478515625
2023-01-25,102.11358642578125
2023-01-26,106.2176284790039
2023-01-27,104.27835845947266
2023-01-30,102.4292984008789
2023-01-31,104.63916015625
2023-02-01,103.49363708496094
2023-02-02,100.25550079345703
2023-02-03,100.95004272460938
2023-02-06,100.77867126464844
2023-02-07,103.65599060058594
2023-02-08,102.75399017333984
2023-02-09,103.1418685913086
2023-02-10,107.48942565917969
2023-02-13,107.07132720947266
2023-02-14,105.8169937133789
2023-02-15,105.4988784790039
2023-02-16,105.1898422241211
2023-02-17,101.1451187133789
2023-02-21,101.04513549804688
2023-02-22,99.73629760742188
2023-02-23,100.654296875
2023-02-24,100.66339874267578
2023-02-27,100.48161315917969
2023-02-28,99.89989471435547
2023-03-01,100.79064178466797
2023-03-02,101.25420379638672
2023-03-03,102.53578186035156
2023-03-06,103.44469451904297
2023-03-07,101.44506072998047
2023-03-08,99.96353149414062
2023-03-09,99.19094848632812
2023-03-10,97.96388244628906
2023-03-13,96.83683776855469
2023-03-14,97.20040893554688
2023-03-15,92.36492156982422
2023-03-16,91.82865142822266
2023-03-17,90.74702453613281
2023-03-20,93.11931610107422
2023-03-21,97.2912826538086
2023-03-22,95.06442260742188
2023-03-23,93.99190521240234
2023-03-24,94.10095977783203
2023-03-27,96.16423034667969
2023-03-28,97.36400604248047
2023-03-29,99.03642272949219
2023-03-30,99.51815795898438
2023-03-31,99.67267608642578
2023-04-03,105.55341339111328
2023-04-04,104.54450225830078
2023-04-05,106.33509063720703
2023-04-06,104.57176971435547
2023-04-10,104.10822296142578
2023-04-11,104.84445190429688
2023-04-12,104.7353744506836
2023-04-13,105.2261962890625
2023-04-14,105.48070526123047
2023-04-17,104.2536392211914
2023-04-18,106.2896499633789
2023-04-19,105.95333862304688
2023-04-20,105.1080322265625
2023-04-21,105.44434356689453
2023-04-24,107.43489074707031
2023-04-25,105.90788269042969
2023-04-26,104.93533325195312
2023-04-27,106.18965148925781
2023-04-28,107.56212615966797
2023-05-01,104.22637939453125
2023-05-02,100.07260131835938
2023-05-03,98.10023498535156
2023-05-04,96.38236236572266
2023-05-05,98.78193664550781
2023-05-08,99.17276000976562
2023-05-09,99.20001983642578
2023-05-10,97.92753601074219
2023-05-11,96.15514373779297
2023-05-12,96.14604187011719
2023-05-15,96.32939910888672
2023-05-16,93.99153137207031
2023-05-17,96.10018920898438
2023-05-18,96.9711685180664
2023-05-19,97.42041015625
2023-05-22,96.23772430419922
2023-05-23,97.54875946044922
2023-05-24,98.63975524902344
2023-05-25,96.8703384399414
2023-05-26,96.23772430419922
2023-05-30,95.38508605957031
2023-05-31,93.6798095703125
2023-06-01,94.76165771484375
2023-06-02,96.96200561523438
2023-06-05,96.5311050415039
2023-06-06,97.3195571899414
2023-06-07,99.50157928466797
2023-06-08,99.18985748291016
2023-06-09,98.4563980102539
2023-06-12,97.56709289550781
2023-06-13,97.58543395996094
2023-06-14,96.41192626953125
2023-06-15,97.08119201660156
2023-06-16,96.3843994140625
2023-06-20,94.17488861083984
2023-06-21,95.2292251586914
2023-06-22,94.70664978027344
2023-06-23,93.88151550292969
2023-06-26,95.61429595947266
2023-06-27,95.85266876220703
2023-06-28,96.63195037841797
2023-06-29,97.82379913330078
2023-06-30,98.32805633544922
2023-07-03,98.52057647705078
2023-07-05,98.01634216308594
2023-07-06,94.3582534790039
2023-07-07,94.57828521728516
2023-07-10,95.98101043701172
2023-07-11,97.154541015625
2023-07-12,97.63127899169922
2023-07-13,95.8434829711914
2023-07-14,92.54297637939453
2023-07-17,92.94635772705078
2023-07-18,92.52462768554688
2023-07-19,93.16641235351562
2023-07-20,94.80751037597656
2023-07-21,95.24756622314453
2023-07-24,96.74197387695312
2023-07-25,96.88865661621094
2023-07-26,96.34774017333984
2023-07-27,96.65028381347656
2023-07-28,95.4951171875
2023-07-31,98.31888580322266
2023-08-01,97.7504653930664
2023-08-02,96.5311050415039
2023-08-03,98.20886993408203
2023-08-04,98.48390197753906
2023-08-07,98.28219604492188
2023-08-08,98.76813507080078
2023-08-09,100.44588470458984
2023-08-10,100.95931243896484
2023-08-11,102.52704620361328
2023-08-14,102.60955810546875
2023-08-15,99.97522735595703
2023-08-16,98.29295349121094
2023-08-17,100.19706726074219
2023-08-18,101.71295928955078
2023-08-21,100.48360443115234
2023-08-22,99.91976928710938
2023-08-23,99.04165649414062
2023-08-24,98.30220031738281
2023-08-25,100.05841064453125
2023-08-28,100.89955139160156
2023-08-29,101.50037384033203
2023-08-30,102.4894027709961
2023-08-31,102.77593994140625
2023-09-01,104.92961120605469
2023-09-05,104.93885803222656
2023-09-06,105.84471130371094
2023-09-07,105.32707214355469
2023-09-08,106.86146545410156
2023-09-11,105.52120208740234
2023-09-12,108.59920501708984
2023-09-13,107.62865447998047
2023-09-14,109.55126190185547
2023-09-15,107.86897277832031
2023-09-18,108.73786163330078
2023-09-19,108.45130920410156
2023-09-20,107.5916748046875
2023-09-21,106.07579803466797
2023-09-22,106.2421646118164
2023-09-25,107.43455505371094
2023-09-26,107.6009292602539
2023-09-27,111.10413360595703
2023-09-28,110.42937469482422
2023-09-29,108.68238067626953
