Date,GOOGL
2023-01-04,87.41948699951172
2023-01-05,85.55357360839844
2023-01-06,86.68502807617188
2023-01-09,87.35992431640625
2023-01-10,87.75692749023438
2023-01-11,90.83369445800781
2023-01-12,90.44660949707031
2023-01-13,91.42918395996094
2023-01-17,90.60540771484375
2023-01-18,90.43669128417969
2023-01-19,92.35221862792969
2023-01-20,97.2849349975586
2023-01-23,99.04166412353516
2023-01-24,96.96733856201172
2023-01-25,94.50594329833984
2023-01-26,96.7886962890625
2023-01-27,98.62483215332031
2023-01-30,96.2130355834961
2023-01-31,98.09878540039062
2023-02-01,99.67687225341797
2023-02-02,106.93204498291016
2023-02-03,103.9942398071289
2023-02-06,102.12835693359375
2023-02-07,106.83280181884766
2023-02-08,98.62483215332031
2023-02-09,94.29751586914062
2023-02-10,93.8608169555664
2023-02-13,93.90052032470703
2023-02-14,93.96997833251953
2023-02-15,96.2130355834961
2023-02-16,94.79376220703125
2023-02-17,93.6424560546875
2023-02-21,91.1016616821289
2023-02-22,90.96270751953125
2023-02-23,90.20840454101562
2023-02-24,88.46160888671875
2023-02-27,89.1960678100586
2023-02-28,89.3846435546875
2023-03-01,89.68238830566406
2023-03-02,91.3100814819336
2023-03-03,92.94771575927734
2023-03-06,94.41661071777344
2023-03-07,93.15613555908203
2023-03-08,93.54322052001953
2023-03-09,91.627685546875
2023-03-10,89.95035552978516
2023-03-13,90.4267578125
2023-03-14,93.26531982421875
2023-03-15,95.38926696777344
2023-03-16,99.56770324707031
2023-03-17,100.85794067382812
2023-03-20,100.46094512939453
2023-03-21,104.13318634033203
2023-03-22,102.5948257446289
2023-03-23,104.80809020996094
2023-03-24,104.64930725097656
2023-03-27,101.69164276123047
2023-03-28,100.27236938476562
2023-03-29,100.62966918945312
2023-03-30,100.1334228515625
2023-03-31,102.9521255493164
2023-04-03,103.577392578125
2023-04-04,103.93470001220703
2023-04-05,103.68656921386719
2023-04-06,107.60694885253906
2023-04-10,105.64179229736328
2023-04-11,104.55997467041016
2023-04-12,103.85529327392578
2023-04-13,106.62437438964844
2023-04-14,108.05358123779297
2023-04-17,105.17532348632812
2023-04-18,103.71633911132812
2023-04-19,103.39875030517578
2023-04-20,104.50042724609375
2023-04-21,104.6195297241211
2023-04-24,105.17532348632812
2023-04-25,103.07122802734375
2023-04-26,102.93228149414062
2023-04-27,106.78317260742188
2023-04-28,106.5350341796875
2023-05-01,106.3960952758789
2023-05-02,104.53019714355469
2023-05-03,104.6195297241211
2023-05-04,103.90492248535156
2023-05-05,104.7783203125
2023-05-08,106.96182250976562
2023-05-09,106.54497528076172
2023-05-10,110.91197967529297
2023-05-11,115.69583892822266
2023-05-12,116.62879180908203
2023-05-15,115.63629150390625
2023-05-16,118.6137924194336
2023-05-17,119.93380737304688
2023-05-18,121.90888977050781
2023-05-19,121.83942413330078
2023-05-22,124.11224365234375
2023-05-23,121.64090728759766
2023-05-24,119.99336242675781
2023-05-25,122.55403137207031
2023-05-26,123.67554473876953
2023-05-30,122.74258422851562
2023-05-31,121.94860076904297
2023-06-01,122.79222869873047
2023-06-02,123.7350845336914
2023-06-05,125.0650405883789
2023-06-06,126.35529327392578
2023-06-07,121.58135986328125
2023-06-08,121.22406768798828
2023-06-09,121.31338500976562
2023-06-12,122.71282196044922
2023-06-13,122.90138244628906
2023-06-14,122.74258422851562
2023-06-15,124.15193939208984
2023-06-16,122.6036376953125
2023-06-20,122.17687225341797
2023-06-21,119.64598083496094
2023-06-22,122.22649383544922
2023-06-23,121.42256164550781
2023-06-26,117.45256042480469
2023-06-27,117.44264221191406
2023-06-28,119.27876281738281
2023-06-29,118.20686340332031
2023-06-30,118.80235290527344
2023-07-03,119.00086212158203
2023-07-05,120.83698272705078
2023-07-06,119.20928955078125
2023-07-07,118.58401489257812
2023-07-10,115.57674407958984
2023-07-11,116.26155853271484
2023-07-12,118.03813171386719
2023-07-13,123.60607147216797
2023-07-14,124.4794692993164
2023-07-17,123.71524047851562
2023-07-18,122.83191680908203
2023-07-19,121.1148910522461
2023-07-20,118.30612182617188
2023-07-21,119.11995697021484
2023-07-24,120.61864471435547
2023-07-25,121.29354095458984
2023-07-26,128.3006134033203
2023-07-27,128.4296417236328
2023-07-28,131.5857696533203
2023-07-31,131.72471618652344
2023-08-01,130.56350708007812
2023-08-02,127.41727447509766
2023-08-03,127.48673248291016
2023-08-04,127.1492919921875
2023-08-07,130.54364013671875
2023-08-08,130.41461181640625
2023-08-09,128.68765258789062
2023-08-10,128.7174530029297
2023-08-11,128.58843994140625
2023-08-14,130.3451385498047
2023-08-15,128.8067626953125
2023-08-16,127.7348861694336
2023-08-17,128.94573974609375
2023-08-18,126.50416564941406
2023-08-21,127.40733337402344
2023-08-22,128.11204528808594
2023-08-23,131.37733459472656
2023-08-24,128.8067626953125
2023-08-25,128.90603637695312
2023-08-28,130.02755737304688
2023-08-29,133.56085205078125
2023-08-30,134.8610382080078
2023-08-31,135.1488494873047
2023-09-01,134.64266967773438
2023-09-05,134.75184631347656
2023-09-06,133.45169067382812
2023-09-07,134.24563598632812
2023-09-08,135.35728454589844
2023-09-11,135.89320373535156
2023-09-12,134.3250732421875
2023-09-13,135.684814453125
2023-09-14,137.06439208984375
2023-09-15,136.36962890625
2023-09-18,137.17356872558594
2023-09-19,137.0048065185547
2023-09-20,132.73709106445312
2023-09-21,129.46182250976562
2023-09-22,129.2732391357422
2023-09-25,130.12680053710938
2023-09-26,127.60585021972656
2023-09-27,129.56106567382812
2023-09-28,131.3177947998047
2023-09-29,129.87867736816406
2023-10-02,133.16384887695312
2023-10-03,131.43690490722656
2023-10-04,134.225830078125
2023-10-05,134.05711364746094
2023-10-06,136.5482940673828
2023-10-09,137.3819580078125
2023-10-10,137.02468872070312
2023-10-11,139.49603271484375
2023-10-12,137.92787170410156
2023-10-13,136.32994079589844
2023-10-16,138.056884765625
2023-10-17,138.67222595214844
2023-10-18,136.92544555664062
2023-10-19,136.71701049804688
2023-10-20,134.5831298828125
2023-10-23,135.4763641357422
2023-10-24,137.76905822753906
2023-10-25,124.66804504394531
2023-10-26,121.36302185058594
2023-10-27,121.25383758544922
2023-10-30,123.52666473388672
2023-10-31,123.14952087402344
2023-11-01,125.50173950195312
2023-11-02,126.53394317626953
2023-11-03,128.13185119628906
2023-11-06,129.2732391357422
2023-11-07,129.9878387451172
2023-11-08,130.85133361816406
2023-11-09,129.26333618164062
2023-11-10,131.59568786621094
2023-11-13,131.09942626953125
2023-11-14,132.6179656982422
2023-11-15,133.61048889160156
2023-11-16,135.9031524658203
2023-11-17,134.29530334472656
2023-11-20,135.22824096679688
2023-11-21,135.94284057617188
2023-11-22,137.4514617919922
2023-11-24,135.6649627685547
2023-11-27,135.38705444335938
2023-11-28,136.17111206054688
2023-11-29,133.9777069091797
2023-11-30,131.53611755371094
2023-12-01,130.8711700439453
2023-12-04,128.3006134033203
2023-12-05,130.0076904296875
2023-12-06,129.0449676513672
2023-12-07,135.9031524658203
2023-12-08,133.9777069091797
2023-12-11,132.2904510498047
2023-12-12,131.52622985839844
2023-12-13,131.5758514404297
2023-12-14,130.95057678222656
2023-12-15,131.60562133789062
2023-12-18,134.78164672851562
2023-12-19,135.625244140625
2023-12-20,137.30258178710938
2023-12-21,139.36697387695312
2023-12-22,140.42897033691406
2023-12-26,140.458740234375
2023-12-27,139.31735229492188
2023-12-28,139.17840576171875
2023-12-29,138.64247131347656
2024-01-02,137.1338653564453
2024-01-03,137.87823486328125
2024-01-04,135.36720275878906
2024-01-05,134.71214294433594
2024-01-08,137.79881286621094
2024-01-09,139.8930206298828
2024-01-10,141.21302795410156
2024-01-11,141.0145263671875
2024-01-12,141.5802459716797
2024-01-16,141.42147827148438
2024-01-17,140.4091033935547
2024-01-18,142.40402221679688
2024-01-19,145.2823028564453
2024-01-22,144.8952178955078
2024-01-23,145.93734741210938
2024-01-24,147.5848846435547
2024-01-25,150.73110961914062
2024-01-26,151.04872131347656
2024-01-29,152.3588104248047
2024-01-30,150.32418823242188
2024-01-31,139.04937744140625
2024-02-01,140.10145568847656
2024-02-02,141.31228637695312
2024-02-05,142.60252380371094
2024-02-06,143.01939392089844
2024-02-07,144.44857788085938
2024-02-08,144.81582641601562
2024-02-09,147.88262939453125
2024-02-12,146.4236602783203
2024-02-13,144.05157470703125
2024-02-14,144.8455810546875
2024-02-15,141.69935607910156
2024-02-16,139.4662322998047
2024-02-20,140.0617218017578
2024-02-21,141.48101806640625
2024-02-22,143.0094451904297
2024-02-23,142.8804473876953
2024-02-26,136.53834533691406
2024-02-27,137.83853149414062
2024-02-28,135.35728454589844
2024-02-29,137.4216766357422
2024-03-01,136.11158752441406
2024-03-04,132.3500213623047
2024-03-05,131.67507934570312
2024-03-06,130.41461181640625
2024-03-07,133.37228393554688
2024-03-08,134.39454650878906
2024-03-11,136.63760375976562
2024-03-12,137.46136474609375
2024-03-13,138.74168395996094
2024-03-14,142.0269012451172
2024-03-15,140.1212615966797
2024-03-18,146.57252502441406
