Date,V
2023-01-04,207.85853576660156
2023-01-05,206.39205932617188
2023-01-06,212.88363647460938
2023-01-09,213.71466064453125
2023-01-10,216.14898681640625
2023-01-11,217.13644409179688
2023-01-12,218.6224822998047
2023-01-13,218.07498168945312
2023-01-17,218.01632690429688
2023-01-18,214.55545043945312
2023-01-19,215.48422241210938
2023-01-20,219.29702758789062
2023-01-23,219.16995239257812
2023-01-24,218.88641357421875
2023-01-25,219.8738555908203
2023-01-26,219.68812561035156
2023-01-27,226.2677001953125
2023-01-30,223.9800262451172
2023-01-31,225.06520080566406
2023-02-01,225.73976135253906
2023-02-02,224.42970275878906
2023-02-03,224.98699951171875
2023-02-06,224.3124237060547
2023-02-07,226.150390625
2023-02-08,225.055419921875
2023-02-09,224.66358947753906
2023-02-10,222.55752563476562
2023-02-13,224.20321655273438
2023-02-14,224.7027587890625
2023-02-15,224.24237060546875
2023-02-16,221.21551513671875
2023-02-17,218.99188232421875
2023-02-21,216.11196899414062
2023-02-22,215.52426147460938
2023-02-23,216.6115264892578
2023-02-24,215.06382751464844
2023-02-27,215.84750366210938
2023-02-28,215.4458770751953
2023-03-01,213.8981475830078
2023-03-02,214.58384704589844
2023-03-03,219.19761657714844
2023-03-06,222.11671447753906
2023-03-07,218.60987854003906
2023-03-08,217.64988708496094
2023-03-09,215.51443481445312
2023-03-10,211.72352600097656
2023-03-13,210.08763122558594
2023-03-14,214.1920166015625
2023-03-15,211.94882202148438
2023-03-16,213.00674438476562
2023-03-17,212.94798278808594
2023-03-20,213.69241333007812
2023-03-21,217.414794921875
2023-03-22,215.54380798339844
2023-03-23,218.04173278808594
2023-03-24,216.52337646484375
2023-03-27,217.27764892578125
2023-03-28,215.82791137695312
2023-03-29,218.73719787597656
2023-03-30,217.81642150878906
2023-03-31,220.85308837890625
2023-04-03,224.3207244873047
2023-04-04,223.0081329345703
2023-04-05,223.50767517089844
2023-04-06,221.3722381591797
2023-04-10,221.80323791503906
2023-04-11,223.781982421875
2023-04-12,223.15505981445312
2023-04-13,227.93533325195312
2023-04-14,229.2381591796875
2023-04-17,228.7091827392578
2023-04-18,228.82675170898438
2023-04-19,227.81781005859375
2023-04-20,229.8063201904297
2023-04-21,229.26754760742188
2023-04-24,228.00392150878906
2023-04-25,224.89866638183594
2023-04-26,223.4881134033203
2023-04-27,224.3305206298828
2023-04-28,227.97450256347656
2023-05-01,227.7589874267578
2023-05-02,222.3419952392578
2023-05-03,221.36244201660156
2023-05-04,220.990234375
2023-05-05,227.04391479492188
2023-05-08,227.48475646972656
2023-05-09,228.49366760253906
2023-05-10,226.54437255859375
2023-05-11,226.73085021972656
2023-05-12,227.093994140625
2023-05-15,228.49749755859375
2023-05-16,226.2008514404297
2023-05-17,228.34043884277344
2023-05-18,229.27284240722656
2023-05-19,228.98822021484375
2023-05-22,226.995849609375
2023-05-23,220.4199676513672
2023-05-24,218.1331024169922
2023-05-25,219.24217224121094
2023-05-26,220.84197998046875
2023-05-30,217.534423828125
2023-05-31,216.9357147216797
2023-06-01,222.3043670654297
2023-06-02,224.5519561767578
2023-06-05,222.5693817138672
2023-06-06,223.9925079345703
2023-06-07,221.09713745117188
2023-06-08,218.9182891845703
2023-06-09,219.4188232421875
2023-06-12,221.98048400878906
2023-06-13,219.2617950439453
2023-06-14,219.30108642578125
2023-06-15,221.98048400878906
2023-06-16,224.6697235107422
2023-06-20,222.27493286132812
2023-06-21,223.04049682617188
2023-06-22,224.15939331054688
2023-06-23,225.29791259765625
2023-06-26,222.10809326171875
2023-06-27,223.12881469726562
2023-06-28,223.73733520507812
2023-06-29,229.97950744628906
2023-06-30,233.08094787597656
2023-07-03,233.56192016601562
2023-07-05,235.01449584960938
2023-07-06,234.45506286621094
2023-07-07,232.070068359375
2023-07-10,233.74838256835938
2023-07-11,236.09410095214844
2023-07-12,237.723388671875
2023-07-13,238.80299377441406
2023-07-14,238.6558074951172
2023-07-17,239.47039794921875
2023-07-18,236.31004333496094
2023-07-19,236.94798278808594
2023-07-20,235.1813507080078
2023-07-21,234.81820678710938
2023-07-24,236.28060913085938
2023-07-25,234.26856994628906
2023-07-26,232.70803833007812
2023-07-27,230.09730529785156
2023-07-28,231.383056640625
2023-07-31,233.32635498046875
2023-08-01,235.33836364746094
2023-08-02,233.15951538085938
2023-08-03,234.33726501464844
2023-08-04,234.56301879882812
2023-08-07,237.03631591796875
2023-08-08,234.85745239257812
2023-08-09,235.31875610351562
2023-08-10,236.1545867919922
2023-08-11,236.03656005859375
2023-08-14,238.84889221191406
2023-08-15,235.830078125
2023-08-16,235.299072265625
2023-08-17,233.41110229492188
2023-08-18,234.19776916503906
2023-08-21,235.4662628173828
2023-08-22,236.5577392578125
2023-08-23,238.25889587402344
2023-08-24,235.47610473632812
2023-08-25,238.52439880371094
2023-08-28,239.76336669921875
2023-08-29,241.24819946289062
2023-08-30,242.1233367919922
2023-08-31,241.58250427246094
2023-09-01,243.9720001220703
2023-09-05,241.24819946289062
2023-09-06,242.05450439453125
2023-09-07,243.01815795898438
2023-09-08,243.16563415527344
2023-09-11,243.0968475341797
2023-09-12,243.1754913330078
2023-09-13,243.69664001464844
2023-09-14,237.4722137451172
2023-09-15,237.04940795898438
2023-09-18,240.57952880859375
2023-09-19,239.49786376953125
2023-09-20,237.82623291015625
2023-09-21,232.66378784179688
2023-09-22,231.15931701660156
2023-09-25,229.46800231933594
2023-09-26,225.81988525390625
2023-09-27,225.67234802246094
2023-09-28,227.7963409423828
2023-09-29,226.17384338378906
2023-10-02,227.41285705566406
