Date,MSFT
2023-01-04,223.7503662109375
2023-01-05,217.11891174316406
2023-01-06,219.677734375
2023-01-09,221.8166046142578
2023-01-10,223.50619506835938
2023-01-11,230.2646026611328
2023-01-12,232.9406280517578
2023-01-13,233.643798828125
2023-01-17,234.73768615722656
2023-01-18,230.30369567871094
2023-01-19,226.51425170898438
2023-01-20,234.6107177734375
2023-01-23,236.91558837890625
2023-01-24,236.38819885253906
2023-01-25,234.9915771484375
2023-01-26,242.20904541015625
2023-01-27,242.3653106689453
2023-01-30,237.04258728027344
2023-01-31,242.0234832763672
2023-02-01,246.84808349609375
2023-02-02,258.4214172363281
2023-02-03,252.3173370361328
2023-02-06,250.77423095703125
2023-02-07,261.3122863769531
2023-02-08,260.5017395019531
2023-02-09,257.46429443359375
2023-02-10,256.9564208984375
2023-02-13,264.9844970703125
2023-02-14,265.8146667480469
2023-02-15,263.6900329589844
2023-02-16,256.66986083984375
2023-02-17,252.66539001464844
2023-02-21,247.38809204101562
2023-02-22,246.2523193359375
2023-02-23,249.44415283203125
2023-02-24,244.01019287109375
2023-02-27,244.9305419921875
2023-02-28,244.2060089111328
2023-03-01,241.12185668945312
2023-03-02,245.86068725585938
2023-03-03,249.95330810546875
2023-03-06,251.50027465820312
2023-03-07,248.83714294433594
2023-03-08,248.39654541015625
2023-03-09,247.04541015625
2023-03-10,243.3933563232422
2023-03-13,248.61195373535156
2023-03-14,255.33836364746094
2023-03-15,259.89111328125
2023-03-16,270.42620849609375
2023-03-17,273.5886535644531
2023-03-20,266.5391540527344
2023-03-21,268.0567321777344
2023-03-22,266.59796142578125
2023-03-23,271.8556213378906
2023-03-24,274.7048645019531
2023-03-27,270.6024169921875
2023-03-28,269.4764709472656
2023-03-29,274.6461486816406
2023-03-30,278.1120910644531
2023-03-31,282.2732238769531
2023-04-03,281.22564697265625
2023-04-04,281.1766357421875
2023-04-05,278.39605712890625
2023-04-06,285.5042724609375
2023-04-10,283.3404846191406
2023-04-11,276.9176025390625
2023-04-12,277.56378173828125
2023-04-13,283.7809753417969
2023-04-14,280.1583557128906
2023-04-17,282.76275634765625
2023-04-18,282.341796875
2023-04-19,282.42010498046875
2023-04-20,280.1289978027344
2023-04-21,279.7863464355469
2023-04-24,275.8797607421875
2023-04-25,269.6624755859375
2023-04-26,289.1954650878906
2023-04-27,298.45770263671875
2023-04-28,300.8369140625
2023-05-01,299.17242431640625
2023-05-02,299.0256042480469
2023-05-03,298.0367126464844
2023-05-04,299.0256042480469
2023-05-05,304.156005859375
2023-05-08,302.1978454589844
2023-05-09,300.58233642578125
2023-05-10,305.78131103515625
2023-05-11,303.6273193359375
2023-05-12,302.5111389160156
2023-05-15,302.99090576171875
2023-05-16,305.22320556640625
2023-05-17,308.1080627441406
2023-05-18,312.5432434082031
2023-05-19,312.36663818359375
2023-05-22,315.1533508300781
2023-05-23,309.3444519042969
2023-05-24,307.9609069824219
2023-05-25,319.804443359375
2023-05-26,326.64361572265625
2023-05-30,324.9951477050781
2023-05-31,322.2280578613281
2023-06-01,326.3394470214844
2023-06-02,329.10650634765625
2023-06-05,329.63641357421875
2023-06-06,327.4187927246094
2023-06-07,317.31207275390625
2023-06-08,319.1567687988281
2023-06-09,320.6580810546875
2023-06-12,325.6231689453125
2023-06-13,328.017333984375
2023-06-14,331.01007080078125
2023-06-15,341.5682678222656
2023-06-16,335.906494140625
2023-06-20,331.7067565917969
2023-06-21,327.30108642578125
2023-06-22,333.335693359375
2023-06-23,328.7336730957031
2023-06-26,322.4341125488281
2023-06-27,328.2920837402344
2023-06-28,329.5480651855469
2023-06-29,328.7630615234375
2023-06-30,334.1501159667969
2023-07-03,331.6479187011719
2023-07-05,331.8049011230469
2023-07-06,334.86639404296875
2023-07-07,330.8923645019531
2023-07-10,325.603515625
2023-07-11,326.2314758300781
2023-07-12,330.87274169921875
2023-07-13,336.23028564453125
2023-07-14,338.7618713378906
2023-07-17,339.24273681640625
2023-07-18,352.7445373535156
2023-07-19,348.4172668457031
2023-07-20,340.36126708984375
2023-07-21,337.3194580078125
2023-07-24,338.6343078613281
2023-07-25,344.3941955566406
2023-07-26,331.4320373535156
2023-07-27,324.51434326171875
2023-07-28,332.02081298828125
2023-07-31,329.6167907714844
2023-08-01,330.0289001464844
2023-08-02,321.354736328125
2023-08-03,320.530517578125
2023-08-04,321.6295166015625
2023-08-07,323.9157409667969
2023-08-08,319.93194580078125
2023-08-09,316.1836853027344
2023-08-10,316.8704833984375
2023-08-11,314.9865417480469
2023-08-14,317.959716796875
2023-08-15,315.820556640625
2023-08-16,315.0536193847656
2023-08-17,311.5923156738281
2023-08-18,311.1990661621094
2023-08-21,316.5089111328125
2023-08-22,317.0792541503906
2023-08-23,321.54351806640625
2023-08-24,314.63079833984375
2023-08-25,317.590576171875
2023-08-28,318.2985534667969
2023-08-29,322.92999267578125
2023-08-30,323.3036193847656
2023-08-31,322.290771484375
2023-09-01,323.1757507324219
2023-09-05,327.98419189453125
2023-09-06,327.32537841796875
2023-09-07,324.4049072265625
2023-09-08,328.6921691894531
2023-09-11,332.3009338378906
2023-09-12,326.2339172363281
2023-09-13,330.45233154296875
2023-09-14,333.0482482910156
2023-09-15,324.7097473144531
2023-09-18,323.56915283203125
2023-09-19,323.1659851074219
2023-09-20,315.41741943359375
2023-09-21,314.1981201171875
2023-09-22,311.7201843261719
2023-09-25,312.2413635253906
2023-09-26,306.93145751953125
2023-09-27,307.57061767578125
2023-09-28,308.4064636230469
2023-09-29,310.4811706542969
2023-10-02,316.43023681640625
