Date,SPY
2023-01-04,368.895263671875
2023-01-05,364.68487548828125
2023-01-06,373.0478515625
2023-01-09,372.8363342285156
2023-01-10,375.4510192871094
2023-01-11,380.1996765136719
2023-01-12,381.5838928222656
2023-01-13,383.0643005371094
2023-01-17,382.36248779296875
2023-01-18,376.3257751464844
2023-01-19,373.5860900878906
2023-01-20,380.5457458496094
2023-01-23,385.11175537109375
2023-01-24,384.69842529296875
2023-01-25,384.84259033203125
2023-01-26,389.0721435546875
2023-01-27,389.96612548828125
2023-01-30,385.07330322265625
2023-01-31,390.73516845703125
2023-02-01,394.88775634765625
2023-02-02,400.63616943359375
2023-02-03,396.3777160644531
2023-02-06,393.95538330078125
2023-02-07,399.10772705078125
2023-02-08,394.74359130859375
2023-02-09,391.321533203125
2023-02-10,392.2347412109375
2023-02-13,396.83917236328125
2023-02-14,396.65655517578125
2023-02-15,397.94464111328125
2023-02-16,392.46539306640625
2023-02-17,391.4849548339844
2023-02-21,383.63140869140625
2023-02-22,383.10272216796875
2023-02-23,385.14056396484375
2023-02-24,381.0263977050781
2023-02-27,382.3241271972656
2023-02-28,380.9110107421875
2023-03-01,379.44989013671875
2023-03-02,382.40093994140625
2023-03-03,388.5338134765625
2023-03-06,388.8030090332031
2023-03-07,382.8431091308594
2023-03-08,383.4679870605469
2023-03-09,376.3930358886719
2023-03-10,370.9618835449219
2023-03-13,370.43316650390625
2023-03-14,376.5565185546875
2023-03-15,374.2013854980469
2023-03-16,380.7668151855469
2023-03-17,376.3146057128906
2023-03-20,379.93310546875
2023-03-21,384.92181396484375
2023-03-22,378.36029052734375
2023-03-23,379.38311767578125
2023-03-24,381.8726501464844
2023-03-27,382.58673095703125
2023-03-28,381.7279052734375
2023-03-29,387.2762451171875
2023-03-30,389.54388427734375
2023-03-31,395.03436279296875
2023-04-03,396.5396423339844
2023-04-04,394.3396301269531
2023-04-05,393.30712890625
2023-04-06,394.84136962890625
2023-04-10,395.24658203125
2023-04-11,395.352783203125
2023-04-12,393.7413635253906
2023-04-13,398.9713134765625
2023-04-14,397.9966735839844
2023-04-17,399.4248046875
2023-04-18,399.6852722167969
2023-04-19,399.6178283691406
2023-04-20,397.43701171875
2023-04-21,397.7458190917969
2023-04-24,398.16070556640625
2023-04-25,391.84039306640625
2023-04-26,390.18072509765625
2023-04-27,397.94842529296875
2023-04-28,401.3449401855469
2023-05-01,400.939697265625
2023-05-02,396.4335021972656
2023-05-03,393.7123718261719
2023-05-04,390.9237365722656
2023-05-05,398.16070556640625
2023-05-08,398.2668762207031
2023-05-09,396.5203552246094
2023-05-10,398.3730773925781
2023-05-11,397.6782531738281
2023-05-12,397.15716552734375
2023-05-15,398.5274658203125
2023-05-16,395.8641662597656
2023-05-17,400.6695861816406
2023-05-18,404.529296875
2023-05-19,403.94073486328125
2023-05-22,404.104736328125
2023-05-23,399.56951904296875
2023-05-24,396.67474365234375
2023-05-25,400.10992431640625
2023-05-26,405.2915954589844
2023-05-30,405.4459533691406
2023-05-31,403.19769287109375
2023-06-01,407.02850341796875
2023-06-02,412.91461181640625
2023-06-05,412.1233215332031
2023-06-06,413.02069091796875
2023-06-07,411.59259033203125
2023-06-08,414.0821533203125
2023-06-09,414.82513427734375
2023-06-12,418.58837890625
2023-06-13,421.34808349609375
2023-06-14,421.849853515625
2023-06-15,427.079833984375
2023-06-16,425.6250915527344
2023-06-20,423.4168395996094
2023-06-21,421.2473449707031
2023-06-22,422.7679443359375
2023-06-23,419.5718078613281
2023-06-26,417.8575744628906
2023-06-27,422.4385986328125
2023-06-28,422.6517639160156
2023-06-29,424.31756591796875
2023-06-30,429.3247985839844
2023-07-03,429.8188171386719
2023-07-05,429.1795654296875
2023-07-06,425.8188171386719
2023-07-07,424.74371337890625
2023-07-10,425.8188171386719
2023-07-11,428.5306701660156
2023-07-12,431.9785461425781
2023-07-13,435.4071044921875
2023-07-14,435.13592529296875
2023-07-17,436.64678955078125
2023-07-18,439.8913879394531
2023-07-19,440.8695983886719
2023-07-20,437.9446105957031
2023-07-21,437.9446105957031
2023-07-24,439.9010314941406
2023-07-25,441.1019592285156
2023-07-26,441.1698303222656
2023-07-27,438.244873046875
2023-07-28,442.535400390625
2023-07-31,443.3780212402344
2023-08-01,442.1092529296875
2023-08-02,435.95916748046875
2023-08-03,434.70977783203125
2023-08-04,432.7437438964844
2023-08-07,436.5209045410156
2023-08-08,434.62261962890625
2023-08-09,431.71710205078125
2023-08-10,431.87200927734375
2023-08-11,431.6202392578125
2023-08-14,434.0027770996094
2023-08-15,428.94708251953125
2023-08-16,425.7994689941406
2023-08-17,422.554931640625
2023-08-18,422.75823974609375
2023-08-21,425.50885009765625
