Date,AAPL
2023-01-04,124.4820327758789
2023-01-05,123.16194915771484
2023-01-06,127.69355773925781
2023-01-09,128.2156982421875
2023-01-10,128.78707885742188
2023-01-11,131.50607299804688
2023-01-12,131.42727661132812
2023-01-13,132.75717163085938
2023-01-17,133.919677734375
2023-01-18,133.20050048828125
2023-01-19,133.25962829589844
2023-01-20,135.82093811035156
2023-01-23,139.01284790039062
2023-01-24,140.41172790527344
2023-01-25,139.7516632080078
2023-01-26,141.8204803466797
2023-01-27,143.76116943359375
2023-01-30,140.87474060058594
2023-01-31,142.1455535888672
2023-02-01,143.2686004638672
2023-02-02,148.57852172851562
2023-02-03,152.20379638671875
2023-02-06,149.4749755859375
2023-02-07,152.35159301757812
2023-02-08,149.66217041015625
2023-02-09,148.6277313232422
2023-02-10,148.99282836914062
2023-02-13,151.79489135742188
2023-02-14,151.15359497070312
2023-02-15,153.255126953125
2023-02-16,151.65673828125
2023-02-17,150.51223754882812
2023-02-21,146.49661254882812
2023-02-22,146.9208984375
2023-02-23,147.4043426513672
2023-02-24,144.75027465820312
2023-02-27,145.94407653808594
2023-02-28,145.44091796875
2023-03-01,143.3689727783203
2023-03-02,143.96096801757812
2023-03-03,149.01255798339844
2023-03-06,151.775146484375
2023-03-07,149.57496643066406
2023-03-08,150.82798767089844
2023-03-09,148.57843017578125
2023-03-10,146.51637268066406
2023-03-13,148.46005249023438
2023-03-14,150.5517120361328
2023-03-15,150.94639587402344
2023-03-16,153.76815795898438
2023-03-17,152.92955017089844
2023-03-20,155.2974853515625
2023-03-21,157.15234375
2023-03-22,155.7217254638672
2023-03-23,156.80703735351562
2023-03-24,158.10940551757812
2023-03-27,156.1657257080078
2023-03-28,155.54412841796875
2023-03-29,158.6224822998047
2023-03-30,160.19117736816406
2023-03-31,162.697265625
2023-04-03,163.9503173828125
2023-04-04,163.41754150390625
2023-04-05,161.57249450683594
2023-04-06,162.46046447753906
2023-04-10,159.86561584472656
2023-04-11,158.65206909179688
2023-04-12,157.96141052246094
2023-04-13,163.34844970703125
2023-04-14,163.00315856933594
2023-04-17,163.0228729248047
2023-04-18,164.24632263183594
2023-04-19,165.39085388183594
2023-04-20,164.42388916015625
2023-04-21,162.815673828125
2023-04-24,163.12152099609375
2023-04-25,161.58238220214844
2023-04-26,161.57249450683594
2023-04-27,166.16038513183594
2023-04-28,167.41342163085938
2023-05-01,167.3246307373047
2023-05-02,166.28863525390625
2023-05-03,165.2132568359375
2023-05-04,163.5753936767578
2023-05-05,171.25148010253906
2023-05-08,171.18238830566406
2023-05-09,169.47552490234375
2023-05-10,171.24160766601562
2023-05-11,171.42906188964844
2023-05-12,170.50035095214844
2023-05-15,170.00634765625
2023-05-16,170.00634765625
2023-05-17,170.618896484375
2023-05-18,172.95059204101562
2023-05-19,173.0592803955078
2023-05-22,172.1107940673828
2023-05-23,169.50244140625
2023-05-24,169.77906799316406
2023-05-25,170.91531372070312
2023-05-26,173.32603454589844
2023-05-30,175.17359924316406
2023-05-31,175.12420654296875
2023-06-01,177.9301300048828
2023-06-02,178.7798309326172
2023-06-05,177.42628479003906
2023-06-06,177.06072998046875
2023-06-07,175.68739318847656
2023-06-08,178.40440368652344
2023-06-09,178.7897186279297
2023-06-12,181.58578491210938
2023-06-13,181.11151123046875
2023-06-14,181.7438507080078
2023-06-15,183.77915954589844
2023-06-16,182.70220947265625
2023-06-20,182.79116821289062
2023-06-21,181.75375366210938
2023-06-22,184.7572784423828
2023-06-23,184.44113159179688
2023-06-26,183.0480194091797
2023-06-27,185.80455017089844
2023-06-28,186.9803009033203
2023-06-29,187.3162078857422
2023-06-30,191.6436767578125
2023-07-03,190.15179443359375
2023-07-05,189.03536987304688
2023-07-06,189.5095977783203
2023-07-07,188.39312744140625
2023-07-10,186.3479461669922
2023-07-11,185.82431030273438
2023-07-12,187.49407958984375
2023-07-13,188.25482177734375
2023-07-14,188.40304565429688
2023-07-17,191.66346740722656
2023-07-18,191.4065704345703
2023-07-19,192.76014709472656
2023-07-20,190.8137664794922
2023-07-21,189.63804626464844
2023-07-24,190.43832397460938
2023-07-25,191.29788208007812
2023-07-26,192.16732788085938
2023-07-27,190.90267944335938
2023-07-28,193.4813690185547
2023-07-31,194.09393310546875
2023-08-01,193.26402282714844
2023-08-02,190.27035522460938
2023-08-03,188.8772735595703
2023-08-04,179.80735778808594
2023-08-07,176.70504760742188
2023-08-08,177.64361572265625
2023-08-09,176.05294799804688
2023-08-10,175.83558654785156
2023-08-11,175.89492797851562
2023-08-14,177.54714965820312
2023-08-15,175.55857849121094
2023-08-16,174.68795776367188
2023-08-17,172.14532470703125
2023-08-18,172.63011169433594
2023-08-21,173.96572875976562
2023-08-22,175.3408966064453
2023-08-23,179.18943786621094
2023-08-24,174.49996948242188
2023-08-25,176.70619201660156
2023-08-28,178.2693634033203
2023-08-29,182.15748596191406
2023-08-30,185.6498260498047
2023-08-31,185.86749267578125
2023-09-01,187.4405517578125
2023-09-05,187.67799377441406
2023-09-06,180.96035766601562
2023-09-07,175.66737365722656
2023-09-08,176.28077697753906
2023-09-11,177.4481964111328
2023-09-12,174.42083740234375
2023-09-13,172.3531036376953
2023-09-14,173.86680603027344
2023-09-15,173.14454650878906
2023-09-18,176.07301330566406
2023-09-19,177.1613006591797
2023-09-20,173.61947631835938
2023-09-21,172.07606506347656
2023-09-22,172.9268798828125
2023-09-25,174.20315551757812
2023-09-26,170.12705993652344
2023-09-27,168.6134033203125
2023-09-28,168.87062072753906
2023-09-29,169.3850860595703
2023-10-02,171.89801025390625
