Date,META
2023-01-04,126.48645782470703
2023-01-05,126.05943298339844
2023-01-06,129.1180877685547
2023-01-09,128.57188415527344
2023-01-10,132.0674591064453
2023-01-11,131.96817016601562
2023-01-12,135.7616729736328
2023-01-13,136.02978515625
2023-01-17,134.42103576660156
2023-01-18,132.09725952148438
2023-01-19,135.20555114746094
2023-01-20,138.40318298339844
2023-01-23,142.27615356445312
2023-01-24,142.1470489501953
2023-01-25,140.5184326171875
2023-01-26,146.2781982421875
2023-01-27,150.68739318847656
2023-01-30,146.03988647460938
2023-01-31,147.93661499023438
2023-02-01,152.0578155517578
2023-02-02,187.4605255126953
2023-02-03,185.23606872558594
2023-02-06,184.76930236816406
2023-02-07,190.290771484375
2023-02-08,182.1575469970703
2023-02-09,176.685791015625
2023-02-10,172.94192504882812
2023-02-13,178.18531799316406
2023-02-14,178.23495483398438
2023-02-15,175.9310760498047
2023-02-16,171.2438201904297
2023-02-17,171.68077087402344
2023-02-21,170.8863067626953
2023-02-22,169.93295288085938
2023-02-23,170.84658813476562
2023-02-24,169.20802307128906
2023-02-27,168.36390686035156
2023-02-28,173.72647094726562
2023-03-01,172.21702575683594
2023-03-02,173.31930541992188
2023-03-03,183.96495056152344
2023-03-06,183.61737060546875
2023-03-07,183.23007202148438
2023-03-08,183.68687438964844
2023-03-09,180.42962646484375
2023-03-10,178.26475524902344
2023-03-13,179.64512634277344
2023-03-14,192.6741180419922
2023-03-15,196.3782196044922
2023-03-16,203.50843811035156
2023-03-17,194.25308227539062
2023-03-20,196.43780517578125
2023-03-21,200.75765991210938
2023-03-22,198.4239501953125
2023-03-23,202.86293029785156
2023-03-24,204.58091735839844
2023-03-27,201.43292236328125
2023-03-28,199.2878875732422
2023-03-29,203.92550659179688
2023-03-30,206.39825439453125
2023-03-31,210.46978759765625
2023-04-03,211.5919647216797
2023-04-04,213.23052978515625
2023-04-05,210.01296997070312
2023-04-06,214.60098266601562
2023-04-10,213.2602996826172
2023-04-11,212.3665771484375
2023-04-12,212.51548767089844
2023-04-13,218.8214569091797
2023-04-14,219.9535675048828
2023-04-17,217.34178161621094
2023-04-18,216.37852478027344
2023-04-19,214.2037353515625
2023-04-20,211.5919647216797
2023-04-21,211.4132080078125
2023-04-24,211.31390380859375
2023-04-25,206.1102294921875
2023-04-26,207.94741821289062
2023-04-27,236.90513610839844
2023-04-28,238.65293884277344
2023-05-01,241.49310302734375
2023-05-02,237.58041381835938
2023-05-03,235.38575744628906
2023-05-04,231.9001007080078
2023-05-05,231.1652374267578
2023-05-08,231.65185546875
2023-05-09,231.75115966796875
2023-05-10,231.4631805419922
2023-05-11,234.1543426513672
2023-05-12,232.1880645751953
2023-05-15,237.20306396484375
2023-05-16,237.16334533691406
2023-05-17,240.80787658691406
2023-05-18,245.1376495361328
2023-05-19,243.93600463867188
2023-05-22,246.59742736816406
2023-05-23,245.02841186523438
2023-05-24,247.48126220703125
2023-05-25,250.93710327148438
2023-05-26,260.2222595214844
2023-05-30,260.6989440917969
2023-05-31,262.8836669921875
2023-06-01,270.71893310546875
2023-06-02,270.71893310546875
2023-06-05,269.50738525390625
2023-06-06,269.2392578125
2023-06-07,261.7714538574219
2023-06-08,262.7445983886719
2023-06-09,263.1120910644531
2023-06-12,269.16973876953125
2023-06-13,269.4378967285156
2023-06-14,271.4538269042969
2023-06-15,279.8749694824219
2023-06-16,279.0507507324219
2023-06-20,282.357666015625
2023-06-21,279.68634033203125
2023-06-22,282.90386962890625
2023-06-23,286.7271423339844
2023-06-26,276.53826904296875
2023-06-27,285.05877685546875
2023-06-28,283.3110046386719
2023-06-29,279.5770568847656
2023-06-30,284.9892578125
2023-07-03,284.035888671875
2023-07-05,292.3279724121094
2023-07-06,289.96453857421875
2023-07-07,288.5146179199219
2023-07-10,292.05987548828125
2023-07-11,296.2208251953125
2023-07-12,307.19415283203125
2023-07-13,311.23590087890625
2023-07-14,306.72735595703125
2023-07-17,308.46527099609375
2023-07-18,309.88531494140625
2023-07-19,313.81787109375
2023-07-20,300.4214172363281
2023-07-21,292.2187805175781
2023-07-24,289.587158203125
2023-07-25,292.4272766113281
2023-07-26,296.4988708496094
2023-07-27,309.5476989746094
2023-07-28,323.2221984863281
2023-07-31,316.3899230957031
2023-08-01,320.4713439941406
2023-08-02,312.129638671875
2023-08-03,311.0174560546875
2023-08-04,308.57452392578125
2023-08-07,314.3641052246094
2023-08-08,310.4713134765625
2023-08-09,303.0927734375
2023-08-10,303.619140625
2023-08-11,299.547607421875
2023-08-14,304.0659484863281
2023-08-15,299.8554382324219
2023-08-16,292.24859619140625
2023-08-17,283.1123352050781
2023-08-18,281.28515625
2023-08-21,287.8890075683594
2023-08-22,285.6049499511719
2023-08-23,292.19891357421875
2023-08-24,284.7608642578125
2023-08-25,283.51953125
2023-08-28,288.24652099609375
2023-08-29,295.9228515625
2023-08-30,293.05291748046875
2023-08-31,293.8374938964844
2023-09-01,294.3240661621094
2023-09-05,298.0679016113281
2023-09-06,297.0946960449219
2023-09-07,296.59814453125
2023-09-08,295.8236083984375
2023-09-11,305.426513671875
2023-09-12,299.5673828125
2023-09-13,302.9438171386719
2023-09-14,309.5576477050781
2023-09-15,298.226806640625
2023-09-18,300.45123291015625
2023-09-19,302.95379638671875
2023-09-20,297.59124755859375
2023-09-21,293.6785583496094
2023-09-22,297.0052795410156
2023-09-25,298.7431640625
2023-09-26,296.8861389160156
2023-09-27,295.6745910644531
2023-09-28,301.8514404296875
2023-09-29,298.1274719238281
2023-10-02,304.691650390625
2023-10-03,298.8523864746094
